Latitude,Longitude,Altitude
47.2879307,11.4029901,858.174
47.2879306,11.4029901,858.149
47.2879305,11.40299,858.145
47.2879305,11.40299,858.13
47.2879304,11.40299,858.116
47.2879304,11.40299,858.131
47.2879304,11.40299,858.115
47.2879303,11.4029901,858.124
47.2879303,11.40299,858.114
47.2879302,11.4029899,858.111
47.2879301,11.4029899,858.131
47.2879301,11.4029899,858.122
47.2879301,11.4029898,858.084
47.2879301,11.4029898,858.088
47.28793,11.4029898,858.109
47.2879301,11.40299,858.06
47.2879299,11.4029907,858.108
47.28793,11.4029907,858.195
47.28793,11.4029905,858.278
47.2879304,11.4029906,858.318
47.287931,11.4029903,858.298
47.2879329,11.4029911,858.298
47.2879322,11.4029893,858.472
47.2879323,11.4029881,858.292
47.2879326,11.4029876,858.371
47.2879325,11.4029875,858.285
47.2879318,11.4029859,858.35
47.2879314,11.4029861,858.42
47.2879311,11.4029863,858.356
47.2879309,11.4029856,858.346
47.2879316,11.4029854,858.38
47.287932,11.402985,858.31
47.2879314,11.4029841,858.198
47.2879317,11.4029844,858.168
47.2879319,11.4029843,858.127
47.2879319,11.4029842,858.122
47.2879322,11.4029841,858.013
47.2879321,11.4029839,858.065
47.2879322,11.4029838,858.06
47.2879323,11.4029838,858.046
47.2879324,11.4029838,858.034
47.2879327,11.4029837,857.973
47.2879327,11.4029837,857.962
47.2879329,11.4029837,857.936
47.287933,11.4029838,857.929
47.2879331,11.4029837,857.917
47.2879333,11.4029837,857.91
47.2879334,11.4029838,857.874
47.2879334,11.4029837,857.859
47.2879336,11.4029838,857.825
47.2879336,11.4029839,857.868
47.2879337,11.402984,857.874
47.2879339,11.4029842,857.867
47.287934,11.4029844,857.797
47.287934,11.4029848,857.765
47.2879342,11.4029854,857.786
47.2879343,11.4029853,857.741
47.2879344,11.4029853,857.702
47.2879344,11.4029853,857.659
47.2879347,11.4029855,857.581
47.2879349,11.4029857,857.567
47.287935,11.4029857,857.567
47.2879353,11.4029858,857.49
47.2879357,11.4029859,857.552
47.2879357,11.4029858,857.469
47.2879358,11.402986,857.468
47.287936,11.4029862,857.402
47.2879362,11.4029865,857.349
47.2879364,11.4029867,857.346
47.2879365,11.4029867,857.318
47.2879363,11.4029868,857.333
47.2879365,11.4029868,857.299
47.2879366,11.402987,857.302
47.2879369,11.4029871,857.299
47.2879369,11.402987,857.3
47.2879367,11.4029871,857.267
47.2879369,11.4029871,857.263
47.2879371,11.4029872,857.225
47.2879371,11.4029873,857.237
47.2879371,11.4029872,857.222
47.2879371,11.4029873,857.224
47.2879372,11.4029873,857.208
47.2879371,11.4029873,857.218
47.2879373,11.4029874,857.15
47.2879372,11.4029874,857.171
47.2879369,11.4029871,857.254
47.2879366,11.4029871,857.282
47.2879368,11.4029871,857.251
47.2879366,11.4029871,857.246
47.2879367,11.4029872,857.262
47.2879365,11.4029871,857.24
47.2879365,11.4029871,857.243
47.2879365,11.4029872,857.218
47.2879366,11.4029873,857.221
47.2879363,11.4029872,857.216
47.2879361,11.4029871,857.202
47.2879362,11.4029872,857.205
47.2879361,11.4029871,857.184
47.2879359,11.402987,857.182
47.2879359,11.402987,857.184
47.2879356,11.402987,857.17
47.2879356,11.4029869,857.145
47.2879357,11.402987,857.157
47.2879354,11.4029868,857.127
47.2879355,11.402987,857.132
47.2879353,11.402987,857.116
47.2879353,11.4029869,857.107
47.2879353,11.4029869,857.098
47.2879351,11.4029869,857.093
47.2879352,11.4029869,857.075
47.2879352,11.4029868,857.063
47.287935,11.4029868,857.058
47.2879351,11.4029868,857.057
47.2879349,11.4029868,857.042
47.2879349,11.4029867,857.018
47.2879349,11.4029868,857.014
47.2879347,11.4029869,857.011
47.2879347,11.4029867,856.978
47.2879346,11.4029867,856.973
47.2879346,11.4029867,856.971
47.2879344,11.4029866,856.931
47.2879344,11.4029866,856.927
47.2879344,11.4029865,856.915
47.2879343,11.4029863,856.895
47.2879343,11.4029862,856.893
47.2879342,11.4029861,856.889
47.2879342,11.402986,856.877
