Latitude,Longitude,Altitude
47.2939116,11.3924325,1535.015
47.2939108,11.3924334,1535.015
47.29391,11.3924343,1535.015
47.2939092,11.3924352,1535.015
47.2939084,11.392436,1535.015
47.2939076,11.3924369,1535.015
47.2939069,11.3924378,1535.015
47.2939061,11.3924387,1535.015
47.2939053,11.3924396,1535.016
47.2939045,11.3924405,1535.016
47.2939037,11.3924414,1535.016
47.2939029,11.3924423,1535.016
47.2939021,11.3924432,1535.016
47.2939013,11.392444,1535.016
47.2939005,11.3924449,1535.016
47.2938997,11.3924458,1535.016
47.2938989,11.3924467,1535.016
47.2938982,11.3924476,1535.016
47.2938974,11.3924485,1535.016
47.2938966,11.3924494,1535.016
47.2938958,11.3924503,1535.016
47.293895,11.3924512,1535.017
47.2938942,11.392452,1535.017
47.2938934,11.3924529,1535.017
47.2938926,11.3924538,1535.017
47.2938918,11.3924547,1535.017
47.293891,11.3924556,1535.017
47.2938902,11.3924565,1535.017
47.2938895,11.3924574,1535.017
47.2938887,11.3924583,1535.017
47.2938879,11.3924592,1535.017
47.2938871,11.39246,1535.017
47.2938863,11.3924609,1535.017
47.2938855,11.3924618,1535.018
47.2938847,11.3924627,1535.018
47.2938839,11.3924636,1535.018
47.2938831,11.3924645,1535.018
47.2938823,11.3924654,1535.018
47.2938815,11.3924663,1535.018
47.2938807,11.3924672,1535.018
47.29388,11.3924681,1535.018
47.2938792,11.3924689,1535.018
47.2938784,11.3924698,1535.018
47.2938776,11.3924707,1535.018
47.2938768,11.3924716,1535.018
47.293876,11.3924725,1535.018
47.2938752,11.3924734,1535.019
47.2938744,11.3924743,1535.019
47.2938736,11.3924752,1535.019
47.2938728,11.3924761,1535.019
47.293872,11.3924769,1535.019
47.2938713,11.3924778,1535.019
47.2938713,11.3924778,1535.019
47.2938713,11.3924778,1535.019
47.2938713,11.3924778,1535.019
47.2938713,11.3924778,1535.019
47.2938713,11.3924778,1535.019
47.2938713,11.3924778,1535.019
47.2938713,11.3924778,1535.019
47.2938713,11.3924778,1535.019
47.2938713,11.3924778,1535.019
47.2938713,11.3924778,1535.019
47.2938713,11.3924778,1535.019
47.2938713,11.3924778,1535.019
47.2938713,11.3924778,1535.019
47.2938713,11.3924778,1535.019
47.2941323,11.3920633,1535.805
47.2941309,11.3920634,1535.883
47.2941274,11.3920687,1535.925
47.2941242,11.3920749,1535.927
47.294119,11.3920831,1536.068
47.2941141,11.3920927,1536.289
47.2941103,11.3920995,1536.452
47.2941079,11.3921041,1536.405
47.2941068,11.3921071,1536.284
47.2941037,11.3921119,1536.452
47.2941008,11.392117,1536.224
47.2940991,11.3921195,1536.16
47.2940989,11.3921189,1536.186
47.2940991,11.3921179,1535.976
47.2941001,11.3921167,1535.791
47.2941015,11.3921146,1535.869
47.2941008,11.392115,1536.038
47.2940979,11.392118,1536.667
47.2940936,11.3921235,1536.886
47.294088,11.3921323,1536.636
47.2940854,11.3921357,1536.112
47.2940856,11.3921343,1535.352
47.2940842,11.3921371,1535.416
47.2940828,11.3921412,1535.282
47.2940841,11.3921405,1535.442
47.2940888,11.3921337,1534.713
47.2940943,11.3921253,1534.995
