Latitude,Longitude,Altitude
47.2900171,11.407423,1528.183
47.2900171,11.4074235,1528.031
47.2900169,11.4074244,1529.077
47.290017,11.4074242,1529.018
47.2900173,11.4074242,1529.208
47.2900173,11.4074241,1529.587
47.2900175,11.4074239,1529.739
47.2900178,11.4074237,1528.134
47.290018,11.4074234,1528.521
47.2900183,11.4074233,1526.415
47.2900192,11.4074221,1525.47
47.2900195,11.4074212,1525.319
47.2900205,11.4074203,1524.454
47.2900209,11.4074193,1525.042
47.2900215,11.4074181,1525.276
47.2900224,11.407417,1524.734
47.2900234,11.4074162,1524.429
47.2900239,11.4074156,1525.385
47.2900247,11.407415,1525.313
47.2900254,11.4074143,1525.67
47.2900261,11.4074141,1524.682
47.2900266,11.4074144,1525.944
47.2900273,11.407415,1525.731
47.2900262,11.4074139,1525.168
47.2900271,11.4074115,1524.971
47.2900269,11.4074083,1525.662
47.2900278,11.4074057,1524.766
47.2900284,11.4074055,1525.693
47.2900285,11.4074044,1526.122
47.2900284,11.4074036,1527.146
47.2900305,11.4074049,1527.404
47.290034,11.4074065,1527.54
47.2900363,11.4074087,1527.143
47.2900357,11.407409,1527.552
47.2900346,11.4074082,1527.23
47.2900349,11.4074078,1526.665
47.2900363,11.4074091,1525.536
47.2900369,11.4074102,1525.024
47.2900381,11.4074113,1524.096
47.2900386,11.4074121,1523.376
47.2900388,11.4074125,1524.311
47.2900388,11.4074121,1523.342
47.2900385,11.4074112,1523.956
47.2900385,11.4074096,1523.583
47.2900382,11.407408,1523.892
47.2900376,11.4074066,1524.586
47.2900371,11.4074055,1524.642
47.2900374,11.4074058,1524.431
47.2900379,11.4074065,1524.785
47.2900358,11.4074064,1524.615
47.2900333,11.4074061,1524.941
47.2900324,11.4074073,1524.925
47.2900318,11.4074092,1525.01
47.2900318,11.4074095,1524.76
47.2900327,11.4074099,1524.765
47.2900346,11.4074102,1525.166
47.2900347,11.4074087,1525.591
47.2900336,11.4074068,1525.501
47.2900323,11.4074057,1525.552
47.2900307,11.4074046,1525.374
47.2900303,11.4074046,1525.502
47.290031,11.4074049,1525.611
47.2900323,11.4074062,1525.536
47.2900337,11.4074076,1523.874
47.2900351,11.407409,1523.899
47.2900369,11.4074096,1524.03
47.290039,11.4074099,1524.096
47.2900412,11.4074102,1524.016
47.2900434,11.4074105,1525.457
47.2900459,11.4074109,1525.352
47.2900482,11.4074116,1525.444
47.2900508,11.4074122,1525.421
47.2900534,11.4074129,1525.476
47.2900554,11.4074146,1525.472
47.2900576,11.4074169,1525.509
47.2900575,11.4074168,1525.57
47.2900577,11.4074165,1525.862
47.2900573,11.4074165,1525.855
47.2900575,11.4074156,1525.788
47.2900573,11.4074148,1526.214
47.290057,11.4074143,1526.334
47.2900567,11.4074135,1526.497
47.2900569,11.4074118,1526.58
47.2900588,11.4074118,1526.495
47.2900614,11.4074129,1526.323
47.2900621,11.4074141,1526.831
47.290063,11.407415,1526.914
47.2900648,11.4074156,1526.83
47.2900667,11.4074164,1526.976
47.2900667,11.4074156,1526.977
47.290065,11.4074157,1527.28
47.2900628,11.4074151,1527.353
47.2900628,11.4074139,1527.404
47.290063,11.4074136,1527.346
47.2900639,11.4074138,1527.455
47.2900657,11.4074147,1527.721
47.2900669,11.4074166,1527.683
47.2900684,11.4074189,1527.636
47.2900701,11.4074207,1528.035
47.2900705,11.4074205,1527.929
47.2900701,11.4074196,1528.033
47.29007,11.4074188,1528.263
47.2900723,11.4074197,1528.809
47.2900752,11.4074215,1528.508
47.2900766,11.4074223,1528.424
47.2900781,11.4074233,1528.258
47.2900793,11.4074248,1528.712
47.2900805,11.4074262,1528.827
47.2900819,11.4074277,1528.643
47.2900823,11.4074267,1528.764
47.2900824,11.4074258,1528.789
47.2900827,11.4074248,1528.812
47.2900831,11.4074238,1528.863
47.2900839,11.4074223,1529.241
47.2900845,11.407421,1529.169
47.2900854,11.40742,1529.197
47.2900861,11.4074189,1528.993
47.2900871,11.4074171,1528.94
47.290088,11.4074153,1528.764
47.290089,11.4074135,1528.731
47.2900899,11.4074115,1528.471
47.2900897,11.4074081,1528.535
47.2900892,11.4074044,1528.67
47.2900895,11.4074015,1528.577
47.2900909,11.4073995,1528.63
47.2900919,11.4073967,1528.507
47.2900921,11.4073935,1528.702
47.2900943,11.4073956,1528.378
47.2900989,11.4073989,1528.27
47.2901035,11.4074026,1528.475
47.2901061,11.4074074,1528.444
47.2901065,11.4074093,1528.482
47.2901071,11.4074113,1528.592
47.2901061,11.4074117,1528.724
47.2901038,11.4074099,1528.866
47.290105,11.4074104,1528.844
47.2901062,11.4074109,1528.839
47.2901074,11.4074113,1528.974
47.2901081,11.407411,1529.036
47.2901101,11.4074121,1529.118
47.2901119,11.4074132,1529.07
47.2901134,11.4074146,1529.1
47.2901136,11.4074156,1529.148
47.2901128,11.4074159,1529.202
47.2901098,11.407414,1528.933
47.290107,11.4074112,1528.932
47.2901045,11.4074084,1528.993
47.2901027,11.4074062,1529.069
47.2901023,11.4074055,1529.047
47.2901033,11.4074034,1529.109
47.2901042,11.4074022,1529.199
47.2901062,11.4073999,1529.239
47.2901093,11.4073976,1529.35
47.2901117,11.4073952,1529.371
47.2901119,11.4073946,1529.371
47.2901121,11.407394,1529.371
47.2901124,11.4073933,1529.371
47.2901126,11.4073927,1529.372
47.2901128,11.407392,1529.372
47.290113,11.4073914,1529.372
47.2901132,11.4073907,1529.372
47.2901135,11.4073901,1529.372
47.2901137,11.4073895,1529.372
47.2901139,11.4073888,1529.372
47.2901141,11.4073882,1529.372
47.2901143,11.4073875,1529.372
47.2901146,11.4073869,1529.372
47.2901148,11.4073862,1529.372
47.290115,11.4073856,1529.372
47.2901152,11.407385,1529.372
47.2901154,11.4073843,1529.373
47.2901156,11.4073837,1529.373
47.2901159,11.407383,1529.373
47.2901161,11.4073824,1529.373
47.2901163,11.4073817,1529.373
47.2901165,11.4073811,1529.373
47.2901167,11.4073804,1529.373
47.290117,11.4073798,1529.373
47.2901172,11.4073792,1529.373
47.2901174,11.4073785,1529.373
47.2901176,11.4073779,1529.373
47.2901178,11.4073772,1529.373
47.2901181,11.4073766,1529.373
47.2901183,11.4073759,1529.373
47.2901185,11.4073753,1529.374
47.2901187,11.4073747,1529.374
47.2901189,11.407374,1529.374
47.2901192,11.4073734,1529.374
47.2901194,11.4073727,1529.374
47.2901196,11.4073721,1529.374
47.2901198,11.4073714,1529.374
47.29012,11.4073708,1529.374
47.2901203,11.4073702,1529.374
47.2901205,11.4073695,1529.374
47.2901207,11.4073689,1529.374
47.2901209,11.4073682,1529.374
47.2901211,11.4073676,1529.374
47.2901213,11.4073669,1529.375
47.2901216,11.4073663,1529.375
47.2901218,11.4073656,1529.375
47.290122,11.407365,1529.375
47.2901222,11.4073644,1529.375
47.2901224,11.4073637,1529.375
47.2901227,11.4073631,1529.375
47.2901229,11.4073624,1529.375
47.2901479,11.4073595,1531.817
47.2901536,11.4073623,1531.956
47.290147,11.4073666,1531.208
47.2901432,11.4073648,1531.713
47.2901377,11.4073628,1531.668
47.2901348,11.4073609,1531.7
47.2901323,11.4073595,1531.224
47.2901291,11.4073592,1531.272
47.2901283,11.4073576,1531.746
47.2901291,11.4073574,1531.878
47.2901267,11.4073576,1531.969
47.2901283,11.4073578,1532.793
47.2901287,11.4073533,1532.903
47.2901305,11.4073512,1532.731
47.2901324,11.4073506,1532.643
47.2901342,11.4073494,1532.863
47.2901352,11.4073508,1532.73
47.2901356,11.4073546,1532.217
47.2901333,11.4073597,1532.017
47.2901332,11.4073622,1532.338
47.2901307,11.4073624,1532.413
47.2901301,11.4073612,1532.729
47.2901328,11.4073624,1532.672
47.2901358,11.4073629,1532.854
47.290137,11.4073632,1533.105
47.2901361,11.4073627,1533.481
47.2901353,11.4073623,1533.438
47.2901323,11.4073601,1533.6
47.29013,11.4073585,1533.585
47.2901308,11.4073582,1532.77
47.2901314,11.4073553,1532.908
47.2901366,11.407351,1532.372
47.2901389,11.4073441,1531.922
47.290141,11.4073365,1531.972
47.2901441,11.4073313,1532.352
47.2901487,11.4073278,1531.825
47.2901539,11.4073248,1531.527
47.2901585,11.4073215,1531.277
47.2901627,11.4073179,1530.804
47.2901674,11.4073144,1530.535
47.2901713,11.4073107,1529.969
47.2901755,11.4073074,1529.681
47.2901791,11.4073039,1528.89
47.2901822,11.4073004,1529.31
47.290185,11.4072967,1530.404
47.2901883,11.4072931,1528.996
47.2901916,11.4072899,1530.328
47.2901946,11.4072861,1530.246
47.2901958,11.4072838,1529.545
47.2901965,11.4072825,1531.685
47.2901963,11.4072832,1533.515
47.2901964,11.4072835,1532.358
47.2901974,11.407284,1532.786
47.2901989,11.4072838,1532.885
47.2901999,11.4072838,1533.193
47.2902007,11.4072839,1532.922
47.2902014,11.4072839,1533.196
47.2902015,11.4072838,1532.612
47.2902013,11.407282,1532.521
47.2902021,11.4072817,1532.564
47.2902011,11.4072808,1532.599
47.2902006,11.4072808,1532.028
47.2902015,11.4072813,1531.888
47.2902037,11.4072816,1531.484
47.2902033,11.4072814,1530.297
47.2902028,11.4072812,1530.839
47.2902019,11.4072813,1531.799
47.290201,11.407281,1531.024
47.2902015,11.4072819,1530.812
47.2902041,11.4072851,1531.436
47.290205,11.4072876,1532.621
47.2902051,11.4072893,1531.986
47.2902049,11.4072907,1530.918
47.290205,11.4072923,1530.781
47.2902058,11.4072925,1530.454
47.290207,11.4072931,1530.302
47.2902085,11.4072942,1530.703
47.2902096,11.4072948,1530.333
47.2902106,11.4072934,1529.473
47.2902118,11.4072925,1529.101
47.2902132,11.4072918,1529.458
47.2902146,11.4072912,1529.652
47.290216,11.4072909,1529.459
47.2902176,11.4072906,1529.974
47.2902192,11.4072905,1530.343
47.2902204,11.4072913,1530.75
47.2902212,11.4072914,1530.408
47.290223,11.4072917,1529.988
47.290223,11.4072935,1530.382
47.2902229,11.407295,1529.564
47.2902225,11.4072961,1529.419
47.2902221,11.4072974,1530.104
47.2902213,11.4072987,1528.957
47.2902207,11.4072999,1527.879
47.2902212,11.4073016,1526.815
47.2902227,11.4073034,1527.219
47.2902224,11.4073049,1527.245
47.2902234,11.4073058,1527.895
47.2902212,11.407307,1528.354
47.2902222,11.4073083,1528.22
47.2902233,11.407308,1527.674
47.2902256,11.4073074,1527.438
47.290227,11.4073052,1527.992
47.2902273,11.4073044,1527.201
47.2902277,11.4073043,1527.123
47.2902283,11.4073047,1526.74
47.2902286,11.4073036,1526.298
47.2902296,11.4073023,1526.068
47.2902293,11.407303,1525.699
47.2902303,11.4073025,1525.349
47.2902318,11.4073017,1525.381
47.2902321,11.4073015,1524.757
47.2902318,11.4073024,1524.697
47.2902325,11.4073034,1524.645
47.2902324,11.4073045,1524.725
47.2902326,11.4073057,1524.917
47.2902323,11.4073073,1525.107
47.2879572,11.4027654,834.766
47.2879683,11.402756,833.687
47.2879652,11.4027404,830.71
47.2879595,11.4027388,830.076
47.287955,11.4027394,830.073
47.2879493,11.4027404,830.188
