Latitude,Longitude,Altitude
47.2881033,11.4031493,840.192
47.2881026,11.403149,840.095
47.2881015,11.4031481,840.004
47.2881006,11.4031475,839.957
47.2880998,11.4031471,839.923
47.288099,11.4031468,839.876
47.2880984,11.4031463,839.837
47.2880979,11.4031459,839.785
47.288097,11.403145,839.75
47.2880961,11.4031439,839.721
47.2880955,11.4031432,839.715
47.2880948,11.4031422,839.657
47.2880943,11.403142,839.605
47.2880935,11.4031406,839.541
47.2880928,11.4031399,839.496
47.2880923,11.4031394,839.452
47.2880919,11.4031387,839.381
47.2880915,11.4031382,839.284
47.2880911,11.403137,839.194
47.288091,11.4031368,839.162
47.2880914,11.4031363,839.029
47.288091,11.4031356,839.002
47.2880902,11.4031345,838.915
47.2880898,11.4031335,838.815
47.2880898,11.4031331,838.705
47.2880893,11.4031324,838.617
47.2880887,11.4031315,838.536
47.2880885,11.4031307,838.417
47.2880886,11.4031301,838.316
47.2880883,11.4031295,838.197
47.2880868,11.4031279,838.133
47.2880867,11.403127,837.979
47.2880863,11.403126,837.826
47.2880859,11.4031251,837.751
47.2880863,11.4031248,837.676
47.2880862,11.4031239,837.549
47.2880859,11.403123,837.45
47.2880848,11.4031215,837.343
47.2880845,11.4031203,837.261
47.2880852,11.4031202,837.19
47.2880844,11.4031189,837.135
47.2880839,11.4031177,836.931
47.2880838,11.403118,836.778
47.2880837,11.4031177,836.739
47.2880831,11.403117,836.489
47.2880835,11.4031168,836.268
47.2880831,11.4031162,836.321
47.2880828,11.4031158,836.146
47.2880831,11.4031154,836.054
47.2880827,11.4031146,836
47.2880824,11.4031136,835.853
47.2880819,11.4031126,835.891
47.2880819,11.4031123,835.909
47.2880815,11.4031113,835.884
47.2880806,11.4031098,836.013
47.2880791,11.4031093,836.123
47.2880783,11.403109,836.089
47.2880774,11.4031085,836.095
47.2880764,11.4031079,836.052
47.2880751,11.4031076,835.983
47.2880748,11.4031078,835.927
47.2880748,11.4031085,835.965
47.2880744,11.4031089,835.967
47.2880738,11.4031087,835.957
47.2880727,11.4031073,835.914
47.2880709,11.4031055,835.932
47.28807,11.4031051,835.946
47.2880697,11.4031053,835.888
47.2880693,11.4031051,835.893
47.28807,11.4031064,835.824
47.2880697,11.4031065,835.817
47.2880685,11.4031054,835.905
47.2880662,11.403103,835.93
47.288065,11.4031028,835.933
47.2880645,11.4031024,835.928
47.2880635,11.4031018,835.916
47.2880627,11.4031011,835.99
47.2880615,11.4030982,836.065
47.2880614,11.4030995,836.052
47.2880611,11.4031015,836.114
47.2880605,11.4031019,836.12
47.28806,11.4030998,836.079
47.2880598,11.4030993,836.086
47.28806,11.4030988,836.074
47.2880597,11.4030983,836.097
47.288059,11.4030978,836.133
47.2880584,11.4030977,836.229
47.2880576,11.4030978,836.3
47.2880557,11.4030968,836.397
